TF_id,num_TFHit_inputFeature,inputRatio,bgRatio,pvalue,odds_ratio,padj,qvalue,rank
AGL25,312,312/1447,4060/22994,4.844762471127674e-5,1.3054166338782227,0.013177753921467273,2.1699443734522278e-5,197
MYR2,180,180/1447,2162/22994,4.920872904168023e-5,1.4023730862860089,0.013335565570295343,2.19290236371124e-5,198
DOF5.3,876,876/1447,12789/22994,5.2317423205841845e-5,1.2406492470295551,0.014125704265577297,2.3197202130878738e-5,199
AGL42,332,332/1447,4360/22994,5.347159871891254e-5,1.2950236456389341,0.014383860055387472,2.359041119952024e-5,200
TCX2,281,281/1447,3613/22994,5.527974398376659e-5,1.3174253372936147,0.014814971387649447,2.426678840376058e-5,201
ARR10,290,290/1447,3751/22994,6.290191682032864e-5,1.3097843787900991,0.016794811791027747,2.7476084807947864e-5,202
BHLH104,195,195/1447,2386/22994,6.760946654699099e-5,1.3759282324237132,0.017984118101499604,2.938690229512793e-5,203
AT3G10113,231,231/1447,2901/22994,7.043312841099151e-5,1.343053791317181,0.01866477902891275,3.0464155887107054e-5,204
RVE6,236,236/1447,2975/22994,7.370888043452801e-5,1.3381717800591515,0.019459144434715393,3.1725486557185654e-5,205
ATHB15,174,174/1447,2095/22994,7.561889796011174e-5,1.3964224514497148,0.019887770163509386,3.238959078816893e-5,206
PHL12,210,210/1447,2604/22994,7.600699725417944e-5,1.3581729053001055,0.019913833280595015,3.239854955421118e-5,207
MYB55,143,143/1447,1668/22994,8.271167063334964e-5,1.4397467674318403,0.021587746035304254,3.508696435238248e-5,208
At1g49010,185,185/1447,2258/22994,9.277638509739201e-5,1.3770838180411686,0.02412186012532192,3.91681895992367e-5,209
NAC078,282,282/1447,3655/22994,9.441544589780968e-5,1.304222502188928,0.024453600487532708,3.967035541924776e-5,210
WRKY71,268,268/1447,3452/22994,9.707645260495626e-5,1.3109487232911552,0.025045724772078715,4.0595115390976966e-5,211
AGL13,297,297/1447,3879/22994,1.0187517014243092e-4,1.2952535492479036,0.026181918726604744,4.240087547548456e-5,212
TCP23,279,279/1447,3616/22994,1.0368456440216649e-4,1.3034951743735537,0.02654324848695462,4.2951352279273606e-5,213
AT1G13300,166,166/1447,1997/22994,1.074678163272298e-4,1.3953427521872255,0.0274042931634436,4.431053449445979e-5,214
WRKY65,233,233/1447,2951/22994,1.1058980544694003e-4,1.3295621094767467,0.028089810583522768,4.538569306987963e-5,215
AG,210,210/1447,2621/22994,1.111343990604374e-4,1.3474001690747244,0.028117002962290662,4.539803883187802e-5,216
AGL27,326,326/1447,4316/22994,1.1981390881982057e-4,1.2796296762294934,0.030193105022594785,4.8516492982123576e-5,217
bZIP43,226,226/1447,2854/22994,1.1986808199449997e-4,1.3324750346888388,0.030193105022594785,4.8516492982123576e-5,218
TGA7,121,121/1447,1381/22994,1.2260554390125834e-4,1.4691905043289664,0.030651385975314586,4.939788231315807e-5,219
