TF_id,input_meanMotifScore,bg_meanMotifScore,pvalue,padj,qvalue,rank
GSE60141.AGL15.Col-0_leaves_tnt_col,0.029716655148583276,0.021,0.04904384302220625,1,0.049539235375965905,231
GSE60141.TINY.Col-0_leaves_tnt_col,0.05736005528680028,0.047,0.049844169617160004,1,0.05013063036208621,232
GSE60141.AT3G11280.Col-0_leaves_tnt_col,0.013130615065653075,0.008,0.05072745963617046,1,0.050800031109183574,233
GSE60141.RVE5.Col-0_leaves_tnt_col,0.05114029025570145,0.041,0.05822289120962484,1,0.05805701402669143,234
GSE60141.WRKY28.Col-0_leaves_tnt_col,0.04561161022805805,0.036333333333333336,0.06104141340121388,1,0.060608495575673355,235
GSE60141.TGA4.Col-0_leaves_tnt_col,0.025570145127850726,0.018,0.06315171875567475,1,0.06243814001267278,236
GSE60141.WRKY14.Col-0_leaves_tnt_col,0.017277125086385625,0.011666666666666667,0.06436235522998704,1,0.06336659445990285,237
GSE60141.FAR1.Col-0_leaves_tnt_col,0.028334485141672427,0.021333333333333333,0.06499640183406276,1,0.06372196258241447,238
GSE60141.NAC029.Col-0_leaves_tnt_col,0.02073255010366275,0.014,0.0657637752624891,1,0.06420452257146773,239
GSE60141.NAC101.Col-0_leaves_tnt_col,0.05459571527297857,0.042333333333333334,0.06691442223927156,1,0.06505568828818067,240
GSE60141.MYB118.Col-0_leaves_tnt_colamp,0.06772633033863165,0.05433333333333333,0.0680546807608847,1,0.0658897324102618,241
GSE60141.SMB.Col-0_leaves_tnt_col,0.07118175535590877,0.059333333333333335,0.06864274230687711,1,0.06618446227935809,242
GSE60141.WRKY20.Col-0_leaves_tnt_col,0.013821700069108501,0.009,0.07038418322909981,1,0.06758426373164592,243
GSE60141.PHL11.Col-0_leaves_tnt_col,0.03939184519695923,0.029666666666666668,0.07673399959611808,1,0.07337950781049543,244
GSE60141.TGA2.Col-0_leaves_tnt_col,0.01796821008984105,0.012,0.07787438910024008,1,0.0741660848573715,245
GSE60141.ATMYB13.Col-0_leaves_tnt_col,0.0248790601243953,0.017666666666666667,0.08048823438910811,1,0.07634385375660661,246
GSE60141.STOP1.Col-0_leaves_tnt_colamp,0.0110573600552868,0.007,0.0814574849628953,1,0.07664010681992836,247.5
GSE60141.SGR5.Col-0_leaves_tnt_col,0.0110573600552868,0.007,0.0814574849628953,1,0.07664010681992836,247.5
GSE33120.SVP.Col-0_seedling_4d,0.0304077401520387,0.024333333333333332,0.08191512418263895,1,0.07675751492474348,249
GSE60141.AT2G20400.Col-0_leaves_tnt_col,0.0027643400138217,0.001,0.08224019456222514,1,0.07675751492474348,250
GSE60141.WRKY6.Col-0_leaves_tnt_col,0.006219765031098825,0.003333333333333333,0.08342840748040574,1,0.07755628849440109,251
GSE60141.ANAC075.Col-0_leaves_tnt_col,0.0221147201105736,0.016666666666666666,0.08869691991389596,1,0.08212677769805181,252
GSE60141.TCP15.Col-0_leaves_tnt_colamp,0.029716655148583276,0.023,0.09026845528043619,1,0.08325153978432849,253
GSE60141.PC-MYB1.Col-0_leaves_tnt_col,0.09536973047684866,0.08366666666666667,0.09083194499365274,1,0.08344141928550776,254
GSE60141.ERF027.Col-0_leaves_tnt_col,0.0801658604008293,0.068,0.09313152349950245,1,0.08521838751588459,255
GSE60141.DOF2-2.Col-0_leaves_tnt_col,0.017277125086385625,0.012333333333333333,0.09389230779678523,1,0.0855789263772782,256
GSE60141.AT3G42860.Col-0_leaves_tnt_col,0.01520387007601935,0.010666666666666666,0.0978151821344027,1,0.08880755835808285,257
GSE60141.PDF2.Col-0_leaves_tnt_col,0.0055286800276434,0.003,0.10027379047993822,1,0.0906868906149312,258
GSE60141.HAT5.Col-0_leaves_tnt_col,0.00138217000691085,3.333333333333333e-4,0.10353447845938277,1,0.09327430491836285,259
GSE38358.AP3.Ler_flower_4w-dex,0.17760884588804424,0.15733333333333333,0.10624162111650709,1,0.09534504459173714,260
GSE60141.ANAC076.Col-0_leaves_tnt_col,0.04906703524533518,0.041,0.10776104331858037,1,0.09633809747510377,261
GSE104368.EBS.Col-0_seedling_10d,0.060124395300621976,0.052,0.11175446182057572,1,0.09929771489455191,262
GSE60141.BPC1.Col-0_leaves_tnt_col,0.009675190048375951,0.006333333333333333,0.11192271007400209,1,0.09929771489455191,263
GSE60141.SRM1.Col-0_leaves_tnt_colamp,0.0580511402902557,0.04833333333333333,0.11587185892894461,1,0.1024119965281076,264
GSE60141.ERF039.Col-0_leaves_tnt_col,0.035245335176226675,0.029,0.11757341658792393,1,0.10352376303339214,265
GSE60141.GT-1.Col-0_leaves_tnt_col,0.0034554250172771253,0.0016666666666666668,0.11908189533773934,1,0.10406657520152002,266.5
GSE60141.BHLH104.Col-0_leaves_tnt_col,0.0034554250172771253,0.0016666666666666668,0.11908189533773934,1,0.10406657520152002,266.5
GSE80564.HSFA6A.Col-0_seedling_3d-EtOH,0.0110573600552868,0.007333333333333333,0.12020337880534088,1,0.1046546830394759,268
GSE60141.WRKY65.Col-0_leaves_tnt_col,0.0082930200414651,0.005333333333333333,0.12123650251339896,1,0.10516177417519117,269
GSE60141.AT2G40260.Col-0_leaves_tnt_col,0.015894955079474776,0.011666666666666667,0.1221735587804673,1,0.10558208783497174,270
GSE60141.NTL8.Col-0_leaves_tnt_col,0.013130615065653075,0.009333333333333334,0.12302829707483794,1,0.105630461361082,271
GSE60141.ANAC103.Col-0_leaves_tnt_col,0.019350380096751902,0.014666666666666666,0.12316834016728925,1,0.105630461361082,272
GSE60141.DPBF3.Col-0_leaves_tnt_col,0.082930200414651,0.07033333333333333,0.12358763979246595,1,0.105630461361082,273
GSE79354.HSFA1A.Col-0_seedling_12d-15min-27c,0.04284727021423635,0.035333333333333335,0.12808008943509952,1,0.10907063577198255,274
GSE60141.DREB1C.Col-0_leaves_tnt_col,0.04077401520387008,0.034,0.12863884986906562,1,0.10914811504041931,275
GSE60141.NAC007.Col-0_leaves_tnt_col,0.0359364201796821,0.029,0.12951057616066508,1,0.10933411353918397,276
GSE95301.AGO1.Col-0_seedling_10d-wt_MeJA,0.39875604699378026,0.346,0.1297952119300884,1,0.10933411353918397,277
GSE60141.DREB1B.Col-0_leaves_tnt_col,0.0746371803731859,0.06466666666666666,0.13049523342371175,1,0.1095283733772161,278
GSE95301.AGO1.Col-0_seedling_10d-wt_IAAcontrol,0.7767795438838977,0.724,0.13107365150768663,1,0.10961954128480364,279
GSE60141.NAC078.Col-0_leaves_tnt_colamp,0.09606081548030408,0.081,0.13801492233226087,1,0.11480771752523382,280
GSE60141.NAC029.Col-0_leaves_tnt_colamp,0.019350380096751902,0.014333333333333333,0.13826129410538876,1,0.11480771752523382,281
GSE60141.E2F3.Col-0_leaves_tnt_col,0.0055286800276434,0.0033333333333333335,0.14005762709209196,1,0.1152215250160826,282.5
GSE60141.DREB2D.Col-0_leaves_tnt_col,0.0055286800276434,0.0033333333333333335,0.14005762709209196,1,0.1152215250160826,282.5
GSE60141.ANAC016.Col-0_leaves_tnt_col,0.05943331029716655,0.051333333333333335,0.14024105616243196,1,0.1152215250160826,284
GSE60141.ATHB-51.Col-0_leaves_tnt_col,0.0027643400138217,0.0013333333333333333,0.14576191408083988,1,0.11933723959834844,285
GSE60141.LBD19.Col-0_leaves_tnt_col,0.04008293020041465,0.032,0.14732187984939807,1,0.12019267586780727,286
GSE60141.RAV1.Col-0_leaves_tnt_col,0.013821700069108501,0.010333333333333333,0.15305173099465302,1,0.12427133393796257,287
GSE60141.MYR2.Col-0_leaves_tnt_col,0.027643400138217002,0.022,0.15338633217485664,1,0.12427133393796257,288
