TF_id,input_meanMotifScore,bg_meanMotifScore,pvalue,padj,qvalue,rank
bZIP52,1.2059971420788285,0.9500153124208374,0.03222916186296959,1,0.011049998353018146,315
MYB65,1.2777081938532429,1.0953318985931169,0.035732681404817015,1,0.012212435416836196,316
SPL3,0.8727986185453258,0.6724831491327691,0.038127269032239466,1,0.012989732036220386,317
ATHB-9,1.005535259933547,0.8221664828779087,0.041599858182426,1,0.01412825372233336,318
MYB3R1,1.439625768410466,1.1817112271402639,0.04368269714581288,1,0.01478912630641941,319
CMTA2,0.9629498154913151,0.7649372109135543,0.044275874430394074,1,0.014943107620258002,320
AT4G32800,1.4002301269430495,1.3133908464816133,0.044594977024292964,1,0.01500391750350044,321
UIF1,1.4916355823711824,1.2265511846538708,0.04897060443534312,1,0.016424923226761045,322
BZIP60,1.171745792589106,1.0327818229043675,0.05025962407874687,1,0.01680507554335809,323
ARF1,1.4138177888430636,1.2648792922883139,0.05112653511951001,1,0.017042178373170003,324
MYB73,1.2988931316467045,1.09293118511052,0.052094040044144245,1,0.01731125023005409,325
MYB119,0.9591770564560392,0.7209787492424026,0.05461085091283915,1,0.018091938339222787,326
DREB1B,1.2501500942836008,1.1020063988835622,0.0562456555573004,1,0.018572092793680522,327
At1g74840,1.9371953318073067,1.621264176171981,0.056404133669696405,1,0.018572092793680522,328
FHY3,1.2743970719850208,1.1536453081457116,0.056649068579273855,1,0.01859604682845464,329
MYB81,1.1949575485251027,0.982285142251748,0.05714505893230739,1,0.018702019286936964,330
NAC92,1.9499828311923448,1.7271036813552656,0.058243383405178865,1,0.01900388340712785,331
MYB3,0.8329865530445768,0.6928763372308733,0.06024563567006717,1,0.019597977868576068,332
HSFB2B,1.5613414450587841,1.3118824151613362,0.06212665634839114,1,0.02014918584272145,333
AIL7,1.1294914650843841,0.9596372258222011,0.06465659110504803,1,0.020906921674686187,334
ERF037,1.5428030596234976,1.408335528265323,0.06540043205563913,1,0.021084318394056795,335
MYB124,0.6093746028908591,0.5369848295053616,0.06669624394860002,1,0.021438078412050008,336
ERF043,1.2508995090757655,1.1507236005840105,0.07223556325098755,1,0.02309975630764742,337
STZ,1.5356739634218453,1.2662967224809314,0.0722936817776373,1,0.02309975630764742,338
CBF4,1.2936590625829305,1.1611252341175744,0.07361916017439268,1,0.023453891736974663,339
PLT1,1.2964820236731855,1.1010251867410263,0.07607671342718597,1,0.024165544265106132,340
DYT1,1.9017264766622113,1.71250526148665,0.077954305317634,1,0.024689340100599626,341
CMTA3,0.6699436256036718,0.49699772649422064,0.08311750676860943,1,0.02624763371640298,342
MYB3R5,1.5377062616870871,1.3102754295918222,0.08346378112059025,1,0.026280140994238334,343
TINY,1.5853340980267736,1.4264569269369416,0.08839536771355927,1,0.027752034049605818,344
MYB70,1.004600649532174,0.8713730598578909,0.08914065536948017,1,0.027904900811315532,345
MYB105,1.2015421647859024,1.0345135844296114,0.10368800935752923,1,0.03236504338327502,346
ERF027,1.5265039713038764,1.3523591227826952,0.10512344090343675,1,0.03271853492095438,347
MYB98,1.4522734241610797,1.235727696485961,0.11041957499814171,1,0.03426814396494053,348
KAN4,1.0578070301446074,0.8033181643533637,0.11635001301801917,1,0.03600516162162198,349
At5g08520,1.809979968266946,1.5598603424078958,0.11730335920884913,1,0.03611000421692032,350
RAP210,1.4212195154417957,1.2914302926614534,0.11735751370499105,1,0.03611000421692032,351
NAC058,0.8488946521718287,0.7232867194730177,0.11916608734683337,1,0.03656232225414206,352
AGL63,3.1067658559847415,2.8272356705916315,0.11986867616871429,1,0.03667370262385593,353
ARF3,1.169929538189976,1.0436854436899097,0.12103689301850987,1,0.03692650973446064,354
GATA15,0.9532486970409246,0.8662941392407801,0.12331656043306966,1,0.037516024019074716,355
AGL1,2.534822259380461,2.1923913684175895,0.1269052093398178,1,0.03849933317050653,356
DREB1C,1.3646546167661666,1.2438908766048715,0.13963040894490433,1,0.042241132117786184,357
AT2G44940,1.5249436416787336,1.4066022485464318,0.15156536885266,1,0.04572363082705944,358
